Id,L0_S0_F0,L3_S29_F3321,L3_S33_F3857,L3_S34_F3882,L3_S37_F3950,L0_S0_D1,L3_S29_D3316,L3_S37_D3951,Response
761,,-0.119,0.064,0.0,0.0,,133.12,133.15,0
763,,-0.182,-0.293,0.0,0.0,,165.34,165.42,0
764,,-0.147,-0.24,0.0,0.0,,716.65,716.67,0
766,,-0.037,-0.077,0.0,0.0,,808.54,808.56,0
767,0.03,0.232,0.226,0.0,0.0,323.92,325.16,325.19,0
771,-0.153,-0.216,-0.131,0.0,0.0,255.59,256.32,256.35,0
772,0.075,-0.017,0.002,0.0,0.0,1429.84,1431.41,1431.44,0
775,0.056,-0.231,-0.16,0.0,0.0,140.37,146.04,146.08,0
776,-0.14,0.011,-0.037,0.0,0.0,1465.27,1467.51,1467.53,0
777,,-0.039,-0.039,0.0,0.0,,1175.35,1175.37,0
779,,-0.147,-0.147,0.0,0.0,,756.85,756.88,0
780,0.036,-0.231,0.04,0.0,0.0,104.21,106.54,106.57,0
783,,-0.007,0.051,0.0,0.0,,165.81,165.84,0
784,,0.296,-0.001,0.0,0.0,,1024.88,1024.9,0
785,,0.296,-0.001,0.0,0.0,,1024.88,1024.9,0
789,,-0.044,-0.031,0.0,0.0,,198.24,198.27,0
792,,-0.151,-0.054,0.0,0.0,,1079.82,1079.84,0
796,-0.127,-0.171,-0.1,0.0,0.0,572.09,573.07,573.1,0
797,-0.18,-0.238,-0.014,0.0,0.0,1409.43,1410.53,1410.56,0
800,,0.011,-0.112,0.0,0.0,,1466.79,1466.81,0
801,,0.011,-0.112,0.0,0.0,,1466.79,1466.81,0
803,-0.036,,,,,1442.87,,,0
808,,-0.059,0.048,0.0,0.0,,476.71,476.72,0
810,,-0.104,-0.189,0.0,0.0,,440.56,440.59,0
811,0.049,,,,,1214.91,,,0
813,-0.042,-0.21,-0.09,0.0,0.0,1568.89,1575.48,1575.54,0
818,-0.186,0.22,-0.028,0.0,0.0,116.03,116.62,116.67,0
821,0.056,0.403,0.027,0.0,0.0,838.85,880.1,880.12,0
823,-0.075,0.296,-0.126,0.0,0.0,959.12,961.95,961.97,0
824,,0.184,0.106,0.0,0.0,,1065.6,1065.63,0
825,-0.068,0.184,0.016,0.0,0.0,1154.04,1155.46,1155.52,0
826,-0.088,-0.21,-0.113,0.0,0.0,1560.44,1565.02,1565.04,0
827,0.049,0.296,0.056,0.0,0.0,1227.01,1238.64,1238.67,0
831,0.01,-0.104,-0.018,0.0,0.0,253.6,254.47,254.49,0
832,,-0.151,0.049,0.0,0.0,,1026.32,1026.35,0
834,-0.042,0.12,-0.041,0.0,0.0,269.42,270.11,270.16,0
835,,-0.201,-0.11,0.0,0.0,,609.6,609.62,0
842,,-0.039,0.163,0.0,0.0,,997.06,997.09,0
843,-0.042,0.184,-0.056,0.0,0.0,1222.34,1222.96,1222.98,0
844,-0.01,-0.099,-0.087,0.0,0.0,1650.2,1652.23,1652.26,0
845,,-0.039,-0.008,0.0,0.0,,1147.9,1147.93,0
851,,-0.039,0.155,0.0,0.0,,1126.03,1126.12,0
852,0.056,-0.091,-0.047,0.0,0.0,608.76,610.64,610.66,0
855,0.01,-0.119,0.118,0.0,0.0,52.34,61.48,61.52,0
859,,0.184,-0.086,0.0,0.0,,1002.82,1002.84,0
860,-0.088,0.342,-0.126,0.0,0.0,1566.98,1569.11,1569.13,0
861,-0.023,0.12,0.012,0.0,0.0,402.16,404.16,404.18,0
862,,0.232,0.09,0.0,0.0,,1496.1,1496.12,0
865,-0.01,0.093,-0.067,0.0,0.0,1331.49,1339.59,1339.62,0
867,0.01,-0.017,-0.045,0.0,0.0,1339.23,1342.49,1342.51,0
869,0.03,-0.21,0.002,0.0,0.0,1560.42,1564.08,1564.11,0
870,0.036,-0.147,0.027,0.0,0.0,902.55,905.84,905.86,0
871,-0.062,-0.017,0.039,0.0,0.0,1414.02,1414.96,1414.99,0
872,,0.184,0.168,0.0,0.0,,1073.98,1074.0,0
873,0.023,-0.201,0.096,0.0,0.0,594.37,603.96,603.98,0
874,0.023,-0.201,0.096,0.0,0.0,594.37,603.96,603.98,0
879,-0.108,-0.002,0.039,0.0,0.0,219.59,221.05,221.09,0
882,-0.062,-0.091,-0.128,0.0,0.0,638.02,641.22,642.95,0
883,-0.036,0.121,0.077,0.0,0.0,1560.12,1563.9,1563.95,0
885,0.082,0.008,0.171,0.0,0.0,339.46,341.09,341.11,0
887,-0.003,-0.059,0.021,0.0,0.0,518.36,519.88,519.9,0
890,0.134,-0.091,-0.058,0.0,0.0,672.81,674.87,674.9,0
891,,0.073,0.04,0.0,0.0,,701.2,701.22,0
892,0.016,0.053,0.024,0.0,0.0,510.44,517.58,517.6,0
893,,0.093,-0.19,0.0,0.0,,1412.55,1412.59,0
896,-0.023,0.072,0.011,0.0,0.0,1239.39,1242.31,1242.33,0
899,,0.183,-0.056,0.0,0.0,,740.41,740.45,0
901,-0.003,0.121,-0.019,0.0,0.0,1599.79,1611.38,1611.41,0
902,0.082,-0.017,0.188,0.0,0.0,1245.77,1294.46,1294.49,0
903,0.088,-0.039,0.171,0.0,0.0,1107.74,1108.33,1108.36,0
904,-0.01,-0.127,-0.143,0.0,0.0,1266.77,1276.65,1276.68,0
905,-0.042,0.073,-0.034,0.0,0.0,892.11,897.79,897.83,0
907,-0.029,-0.039,0.054,0.0,0.0,1149.13,1154.21,1154.23,0
908,0.049,0.019,0.062,0.0,0.0,654.98,656.29,656.31,0
909,-0.003,-0.151,-0.227,0.0,0.0,1226.23,1238.16,1238.19,0
910,,-0.037,0.094,0.0,0.0,,821.44,821.48,0
911,-0.016,-0.216,0.111,0.0,0.0,374.3,381.41,381.45,0
912,,0.053,-0.086,0.0,0.0,,505.38,505.48,0
913,0.075,-0.21,-0.138,0.0,0.0,1547.51,1551.1,1551.12,0
914,0.095,0.183,-0.123,0.0,0.0,825.94,829.32,829.36,0
916,,-0.037,-0.146,0.0,0.0,,757.76,757.79,0
917,0.115,0.184,0.027,0.0,0.0,1144.03,1175.66,1175.68,0
919,0.003,-0.147,0.024,0.0,0.0,894.63,901.54,901.56,0
920,,-0.182,-0.081,0.0,0.0,,165.16,165.18,0
925,-0.108,-0.006,0.014,0.0,0.0,52.4,61.61,61.67,0
926,,0.093,-0.117,0.0,0.0,,1331.28,1331.32,0
928,0.043,-0.157,-0.086,0.0,0.0,189.94,190.57,190.6,0
929,,-0.017,-0.224,0.0,0.0,,1397.81,1397.83,0
934,0.003,0.011,-0.045,0.0,0.0,1467.79,1477.3,1477.34,0
938,,-0.127,-0.107,0.0,0.0,,1399.9,1399.92,0
939,-0.082,-0.151,-0.06,0.0,0.0,946.59,955.55,955.58,0
940,,-0.216,-0.066,0.0,0.0,,421.38,421.39,0
941,-0.173,0.444,0.072,0.0,0.0,116.17,116.72,116.75,0
942,0.095,-0.127,0.094,0.0,0.0,1378.4,1378.91,1378.95,0
944,-0.062,0.072,-0.017,0.0,0.0,1238.28,1240.38,1240.42,0
945,-0.029,-0.171,-0.096,0.0,0.0,555.94,557.79,557.81,0
947,0.082,-0.039,0.082,0.0,0.0,1092.0,1093.24,1093.27,0
949,,-0.151,-0.024,0.0,0.0,,952.06,952.09,0
951,,0.072,-0.146,0.0,0.0,,1179.45,1179.48,0
955,0.016,,,,,575.0,,,0
960,,-0.151,0.027,0.0,0.0,,1038.17,1038.23,0
961,0.062,-0.104,0.167,0.0,0.0,335.59,337.11,337.14,0
967,,0.296,0.179,0.0,0.0,,1141.12,1141.13,0
968,,-0.171,-0.049,0.0,0.0,,567.82,567.84,0
970,0.101,-0.151,0.17,0.0,0.0,1105.92,1107.67,1107.69,0
973,-0.042,0.183,-0.077,0.0,0.0,617.37,619.77,619.8,0
974,0.043,0.296,0.01,0.0,0.0,1154.37,1155.4,1155.42,0
975,-0.075,0.011,-0.117,0.0,0.0,1566.11,1568.23,1568.26,0
976,0.01,0.011,0.055,0.0,0.0,1510.96,1512.92,1512.95,0
977,,-0.039,0.1,0.0,0.0,,1126.9,1126.92,0
980,,-0.216,0.014,0.0,0.0,,426.1,426.12,0
985,0.219,0.232,-0.079,0.0,0.0,1636.2,1641.21,1641.3,0
987,-0.153,-0.127,-0.032,0.0,0.0,1383.26,1389.7,1389.72,0
989,-0.042,-0.044,0.146,0.0,0.0,205.89,215.91,215.94,0
990,0.056,-0.037,-0.06,0.0,0.0,839.55,884.61,884.64,0
994,,-0.147,-0.102,0.0,0.0,,717.17,717.19,0
995,,-0.039,-0.094,0.0,0.0,,1226.69,1226.8,0
996,0.023,-0.119,0.073,0.0,0.0,63.89,66.76,66.78,0
997,0.062,-0.21,0.076,0.0,0.0,1692.01,1698.43,1698.47,0
999,0.141,0.342,-0.002,0.0,0.0,1625.8,1628.12,1628.2,0
1002,,0.181,-0.118,0.0,0.0,,189.76,189.78,0
1003,,-0.039,0.221,0.0,0.0,,986.34,986.36,0
1005,,0.069,-0.06,0.0,0.0,,188.84,188.87,0
1006,-0.016,-0.171,0.111,0.0,0.0,524.83,525.91,526.0,0
1007,0.069,0.011,0.003,0.021,0.0,1645.22,1648.98,1649.0,0
1017,-0.075,-0.127,0.166,0.001,0.0,1356.08,1359.67,1359.7,0
1019,,-0.231,-0.087,0.0,0.0,,130.96,130.99,0
1021,,-0.104,0.136,0.0,0.0,,350.23,350.26,0
1022,-0.167,0.165,-0.01,0.0,0.0,587.46,591.75,591.77,0
1023,,-0.151,-0.061,0.0,0.0,,1175.46,1175.49,0
1025,0.016,-0.059,-0.006,0.0,0.0,575.87,583.14,583.17,0
1026,-0.055,-0.039,0.079,0.0,0.0,1113.3,1120.28,1120.36,0
1027,0.03,0.296,0.061,0.0,0.0,970.78,972.81,972.84,0
1030,-0.029,-0.151,0.189,0.0,0.0,1164.69,1170.91,1170.94,0
1032,0.003,0.072,-0.07,0.0,0.0,1227.57,1239.26,1239.34,0
1034,,0.12,0.051,0.0,0.0,,297.63,298.02,0
1036,0.095,0.072,-0.038,0.0,0.0,942.94,946.37,946.4,0
1040,-0.101,-0.127,0.098,0.0,0.0,1361.04,1362.43,1362.45,0
1041,-0.082,-0.139,0.103,0.0,0.0,2.42,4.33,4.35,0
1043,-0.127,0.296,0.091,0.0,0.0,958.9,961.44,961.47,0
1044,,0.069,-0.019,0.0,0.0,,201.36,201.38,0
1046,-0.023,-0.039,-0.11,0.0,0.0,1243.14,1246.79,1246.83,0
1048,0.056,0.072,-0.053,0.0,0.0,1091.08,1091.72,1091.76,0
1049,,0.073,0.096,0.0,0.0,,773.98,774.0,0
1050,,0.183,-0.016,0.0,0.0,,774.08,774.1,0
1053,,-0.104,0.083,0.0,0.0,,302.06,302.09,1
1054,0.128,0.072,0.063,0.0,0.0,1095.54,1096.2,1096.22,0
1055,0.003,0.107,-0.1,0.0,0.0,113.12,114.17,114.2,0
1059,-0.016,0.073,0.016,0.0,0.0,691.06,693.89,693.92,0
1061,-0.147,,,,,1376.71,,,0
1062,0.043,0.314,0.06,0.0,0.0,1365.36,1367.46,1367.48,0
1063,0.043,0.314,0.06,0.0,0.0,1365.36,1367.46,1367.48,0
1064,,-0.017,0.152,0.0,0.0,,1413.69,1413.72,0
1066,-0.029,-0.059,-0.134,0.0,0.0,523.66,532.77,532.8,0
1067,,0.069,-0.018,0.0,0.0,,198.65,198.68,0
1069,0.056,0.072,0.162,0.0,0.0,924.46,928.34,928.37,0
1070,0.01,0.332,0.191,0.0,0.0,114.97,116.4,116.43,0
1076,0.134,-0.238,0.0,0.0,0.0,1316.85,1325.62,1325.65,0
1078,0.108,-0.091,-0.013,0.0,0.0,677.64,686.36,686.48,0
1080,,-0.147,-0.073,0.0,0.0,,724.99,725.01,0
1082,-0.003,-0.151,0.047,0.0,0.0,1245.23,1248.9,1248.93,0
1083,-0.068,-0.017,0.021,0.0,0.0,1412.86,1413.1,1413.12,0
1084,-0.062,0.069,0.009,0.0,0.0,205.45,216.13,216.16,0
1097,-0.003,-0.059,-0.119,0.0,0.0,557.89,558.99,559.01,0
1098,,-0.059,-0.088,0.0,0.0,,508.11,508.14,0
1099,,-0.039,-0.036,0.0,0.0,,986.09,986.12,0
1101,0.043,-0.039,0.025,0.0,0.0,952.73,958.73,958.75,0
1102,0.141,-0.21,0.134,0.0,0.0,1641.81,1642.18,1642.2,0
1104,-0.01,0.344,0.04,0.0,0.0,373.9,374.35,374.38,0
1106,,0.375,0.003,0.0,0.0,,36.96,37.04,0
1108,,-0.039,-0.05,0.0,0.0,,1188.97,1189.0,0
1112,,0.073,-0.087,0.0,0.0,,819.24,819.26,0
1113,,-0.151,-0.013,0.0,0.0,,1205.37,1205.39,0
1115,,-0.037,0.199,0.0,0.0,,790.37,790.39,0
1117,,0.121,0.02,0.0,0.0,,1511.97,1512.0,0
1118,,0.072,0.03,0.0,0.0,,1002.78,1002.8,0
1119,,-0.151,-0.032,0.0,0.0,,1221.39,1221.42,0
1124,0.016,-0.151,0.257,0.0,0.0,1090.89,1091.55,1091.57,0
1126,,-0.21,0.152,0.0,0.0,,30.85,30.87,0
1127,-0.134,,,,,570.9,,,0
1130,,-0.002,-0.048,0.0,0.0,,235.08,235.1,0
1132,,-0.227,0.001,0.0,0.0,,238.9,238.95,0
1133,-0.127,0.011,0.0,0.0,0.0,1569.05,1575.62,1575.66,0
1138,-0.023,-0.21,-0.056,0.001,0.0,1508.49,1511.03,1511.05,0
1139,0.095,-0.21,0.051,0.0,0.0,1662.37,1662.45,1662.48,0
1140,0.128,-0.21,0.051,0.0,0.0,1647.24,1649.94,1649.96,0
1141,-0.068,-0.151,0.013,0.0,0.0,1112.13,1113.39,1113.42,0
1142,-0.029,-0.044,-0.077,0.0,0.0,204.48,216.3,216.34,0
1143,-0.127,0.13,-0.115,0.0,0.0,592.19,603.26,603.29,0
1144,-0.029,0.072,-0.057,0.0,0.0,938.67,943.62,943.66,0
1145,-0.023,0.344,-0.142,0.0,0.0,254.87,255.76,255.83,0
1146,-0.062,-0.091,0.043,0.0,0.0,602.59,605.89,605.91,0
1147,,-0.059,-0.154,0.0,0.0,,504.45,504.49,0
1150,0.088,0.121,-0.01,0.0,0.0,1446.27,1448.01,1448.33,0
1153,0.023,-0.104,0.013,0.0,0.0,320.66,322.19,322.23,0
1155,,-0.017,0.073,0.0,0.0,,1291.22,1291.27,0
1158,0.016,0.008,0.028,0.0,0.0,321.08,322.68,322.71,0
1160,,0.296,0.063,0.0,0.0,,1266.23,1266.25,0
1167,,0.293,0.051,0.0,0.0,,776.44,776.47,0
1168,,-0.059,0.143,0.0,0.0,,488.63,488.67,0
1171,0.141,0.019,0.116,0.0,0.0,676.63,683.59,683.62,0
1172,,,,,,,,,0
1178,-0.016,0.008,-0.022,0.0,0.0,288.43,291.54,291.57,0
1180,0.121,-0.099,0.201,0.0,0.0,1432.79,1433.7,1433.72,0
1182,,0.184,0.093,0.0,0.0,,1198.23,1198.26,0
1184,,0.008,-0.119,0.0,0.0,,288.28,288.3,0
1185,-0.16,-0.114,0.049,0.0,0.0,219.87,221.2,221.23,0
1186,-0.18,-0.21,0.205,0.0,0.0,1465.19,1467.4,1467.42,0
1190,-0.01,0.107,0.152,0.0,0.0,96.31,99.24,99.26,0
1191,-0.062,0.101,-0.002,0.0,0.0,618.09,619.42,619.45,0
1194,-0.023,,,,,522.67,,,0
1195,-0.023,,,,,522.67,,,0
1197,,-0.037,-0.101,0.0,0.0,,721.65,721.67,0
1198,0.128,-0.037,0.045,0.0,0.0,836.69,876.75,876.78,0
1202,0.206,0.011,0.054,0.0,0.0,1633.89,1636.44,1636.47,0
1207,-0.062,-0.216,-0.002,0.0,0.0,291.66,298.08,298.11,0
1209,,-0.037,-0.187,0.0,0.0,,760.31,760.34,0
1210,,-0.037,-0.146,0.0,0.0,,711.02,711.04,0
1212,-0.082,-0.104,-0.064,0.0,0.0,316.06,318.85,318.89,0
1213,-0.023,-0.059,0.058,0.0,0.0,526.97,534.4,534.42,0
1214,0.082,0.019,-0.043,0.0,0.0,640.43,652.96,652.99,0
1215,,0.293,0.123,0.0,0.0,,795.22,795.24,0
1216,0.036,-0.151,-0.122,0.0,0.0,1170.59,1171.4,1171.42,0
1217,-0.082,0.008,-0.207,0.0,0.0,269.3,270.03,270.07,0
1218,,0.403,0.01,0.0,0.0,,777.56,777.59,0
1219,0.01,0.204,0.048,0.0,0.0,1299.13,1306.61,1306.64,0
1221,0.062,-0.21,-0.1,0.0,0.0,1477.37,1484.67,1484.69,0
1222,-0.082,0.232,-0.026,0.0,0.0,1434.05,1440.1,1440.12,0
1223,,-0.216,-0.016,0.0,0.0,,442.39,442.41,0
1225,,-0.171,-0.008,0.0,0.0,,555.21,555.23,0
1228,-0.134,-0.216,0.022,0.0,0.0,267.07,268.27,268.31,0
1230,,0.296,-0.002,0.0,0.0,,1266.83,1266.86,0
1233,,-0.039,0.033,0.0,0.0,,1179.5,1179.53,0
1234,-0.036,0.093,-0.184,0.0,0.0,1381.02,1382.35,1382.39,0
1235,-0.023,0.232,0.094,0.0,0.0,320.72,322.3,322.32,0
1237,,-0.147,-0.111,0.0,0.0,,710.47,710.49,0
1239,-0.134,,,,,1400.47,,,0
1246,,-0.059,-0.131,0.0,0.0,,486.74,486.76,0
1248,,0.053,-0.124,0.0,0.0,,508.98,509.0,0
1250,0.075,-0.147,,,0.0,619.18,622.15,622.21,1
1251,0.075,-0.147,,,0.0,619.18,622.15,622.21,0
1252,,0.358,0.095,0.0,0.0,,459.72,459.76,0
1255,,0.184,0.07,0.0,0.0,,1064.79,1064.82,0
1256,,-0.201,-0.085,0.0,0.0,,668.43,668.45,0
1270,,-0.017,0.09,0.0,0.0,,1359.79,1359.82,0
1274,0.003,-0.12,0.057,0.0,0.0,166.6,166.8,166.83,0
1275,0.003,-0.12,0.057,0.0,0.0,166.6,166.8,166.83,0
1276,0.003,-0.12,0.057,0.0,0.0,166.6,166.8,166.83,0
1277,0.003,-0.12,0.057,0.0,0.0,166.6,166.8,166.83,0
1283,0.049,-0.091,-0.06,0.0,0.0,638.11,643.09,643.11,0
1284,-0.003,0.293,-0.053,0.0,0.0,897.03,904.08,904.1,0
1285,,-0.002,0.038,0.0,0.0,,223.34,223.37,0
1288,,,,,,,,,0
1291,0.075,0.113,-0.011,0.0,0.0,1692.63,1709.26,1709.29,0
1292,,-0.099,-0.074,0.0,0.0,,1612.02,1612.05,0
1293,-0.088,-0.151,-0.047,0.0,0.0,1114.97,1121.81,1121.83,0
1294,,-0.044,0.097,0.0,0.0,,200.2,200.22,0
1296,,0.008,0.034,0.0,0.0,,350.15,350.18,0
1298,-0.114,0.198,0.108,0.0,0.0,1.82,3.13,3.15,0
1300,-0.193,-0.044,-0.05,0.0,0.0,203.8,205.54,205.57,0
1302,-0.134,-0.151,-0.001,0.0,0.0,961.59,963.58,963.6,0
1304,0.049,-0.017,0.091,0.0,0.0,1414.77,1423.2,1423.27,0
1306,,-0.091,-0.13,0.0,0.0,,459.28,459.31,0
1307,,-0.091,-0.13,0.0,0.0,,459.28,459.31,0
1308,,-0.091,-0.13,0.0,0.0,,459.28,459.31,0
1310,,-0.127,0.194,0.0,0.0,,1271.86,1271.92,0
1311,0.049,-0.216,0.199,0.0,0.0,339.13,340.05,340.07,0
1312,-0.068,0.184,0.099,0.0,0.0,1113.09,1115.8,1115.82,0
1313,0.016,0.121,0.062,0.0,0.0,1432.47,1433.38,1433.42,0
1318,,-0.039,0.25,0.0,0.0,,1074.56,1074.58,0
1320,,-0.171,0.07,0.0,0.0,,491.65,491.69,0
1322,,0.073,-0.048,0.0,0.0,,762.28,762.3,0
1323,0.062,0.408,-0.004,0.0,0.0,971.24,973.27,973.29,0
1325,0.075,0.121,0.025,0.0,0.0,1667.38,1669.19,1669.21,0
1326,-0.049,-0.139,0.049,0.0,0.0,15.82,17.1,17.13,0
1327,,-0.059,0.077,0.0,0.0,,448.23,448.26,0
1329,-0.101,0.111,0.01,0.0,0.0,218.37,219.27,219.29,0
1331,0.003,0.073,-0.089,0.0,0.0,701.33,703.74,703.77,0
1332,,0.072,-0.036,0.0,0.0,,1262.05,1262.07,0
1333,0.088,0.072,-0.067,0.0,0.0,920.87,923.06,923.09,0
1334,,,,,,,,,0
1335,-0.016,0.232,0.01,0.0,0.0,402.73,406.5,406.52,0
1336,,-0.238,-0.166,0.0,0.0,,1323.39,1323.41,0
1337,,0.293,-0.008,0.0,0.0,,737.86,737.89,0
1342,0.043,-0.039,-0.024,0.0,0.0,1104.89,1105.39,1105.42,0
1346,0.069,-0.039,0.133,0.0,0.001,1108.74,1110.23,1110.26,0
1349,,0.053,-0.012,0.0,0.0,,472.63,472.65,0
1350,0.069,0.019,-0.052,0.0,0.0,640.2,653.47,653.5,1
1351,0.069,0.019,-0.052,0.0,0.0,640.2,653.47,653.5,0
1356,0.01,0.513,0.038,0.0,0.0,890.15,895.93,895.96,0
1358,,0.183,-0.135,0.0,0.0,,785.9,785.93,0
1359,,0.008,0.053,0.0,0.0,,252.06,252.08,0
1360,0.082,0.072,0.292,0.0,0.0,1105.77,1107.53,1107.55,0
1361,-0.029,0.121,-0.024,0.0,0.0,1593.08,1595.39,1595.41,0
1362,,0.019,-0.026,0.0,0.0,,676.93,676.95,0
1366,,-0.147,-0.178,0.0,0.0,,626.55,626.6,0
1368,0.101,0.121,-0.126,0.0,0.0,1482.1,1490.33,1490.37,0
1370,-0.075,-0.147,-0.061,0.0,0.0,910.41,913.82,913.84,0
1373,,-0.037,-0.132,0.0,0.0,,802.05,802.09,0
1375,0.036,-0.171,0.048,0.0,0.0,536.73,550.13,550.18,0
1379,-0.01,0.073,-0.007,0.0,0.0,617.65,620.19,620.22,0
1380,,0.073,-0.07,0.0,0.0,,740.34,740.37,0
1381,,-0.201,-0.057,0.0,0.0,,691.52,691.54,0
1382,-0.049,-0.127,-0.167,0.0,0.0,1391.54,1392.18,1392.2,0
1384,,-0.231,-0.033,0.0,0.0,,69.29,69.32,0
1385,0.193,0.011,0.023,0.0,0.0,1631.86,1634.89,1634.91,0
1387,,0.293,-0.089,0.0,0.0,,719.25,719.28,0
1388,0.095,0.22,0.048,0.0,0.0,140.06,145.9,145.94,0
1389,-0.055,0.011,-0.019,0.0,0.0,1440.4,1441.91,1441.94,0
1390,0.016,-0.147,-0.021,0.0,0.0,636.51,638.93,638.94,0
1391,-0.042,-0.171,0.136,0.0,0.0,558.59,561.17,561.2,0
1392,-0.042,-0.171,0.136,0.0,0.0,558.59,561.17,561.2,0
1406,-0.167,-0.044,0.084,0.0,0.0,203.75,204.6,204.62,0
1407,-0.075,0.423,0.095,,0.0,2.07,3.21,3.23,0
1410,,-0.039,-0.022,0.003,0.0,,1191.0,1191.04,0
1411,0.03,0.39,-0.056,0.0,0.0,510.59,517.69,517.71,0
1412,-0.18,-0.104,-0.006,0.0,0.0,314.42,317.55,317.57,0
1414,-0.18,-0.104,-0.006,0.0,0.0,314.42,317.55,317.57,0
1415,,0.314,0.139,0.0,0.0,,1299.55,1299.57,0
1419,0.134,-0.238,0.089,0.0,0.0,1428.5,1429.81,1429.84,0
1421,,0.12,0.331,0.0,0.0,,350.89,350.92,0
1423,-0.055,-0.157,-0.008,0.0,0.0,205.81,216.86,216.88,0
1425,,-0.006,0.014,0.0,0.0,,155.33,155.35,0
1426,-0.062,-0.21,-0.004,0.0,0.0,1512.87,1513.4,1513.42,0
1429,-0.062,0.344,0.106,0.0,0.0,364.01,366.27,366.29,0
1432,0.095,0.073,-0.048,0.0,0.001,905.88,908.87,908.9,0
1438,-0.023,-0.007,0.143,0.0,0.0,169.46,170.17,170.19,0
1442,,0.22,0.034,0.0,0.0,,101.86,101.89,0
1445,0.016,0.12,-0.068,0.0,0.0,248.67,250.4,250.42,0
1446,-0.016,-0.21,0.03,0.0,0.0,1561.82,1565.54,1565.56,0
1447,,0.293,-0.026,0.0,0.0,,812.05,812.08,0
1450,,0.008,-0.235,0.0,0.0,,253.09,253.11,0
1451,,0.456,0.023,0.0,0.0,,418.77,418.8,0
1453,,0.019,0.082,0.0,0.0,,673.67,673.7,0
1454,0.069,-0.099,0.035,0.0,0.0,1461.44,1463.07,1463.1,0
1455,,-0.039,-0.066,0.0,0.0,,1081.51,1081.53,0
1456,0.016,-0.238,0.059,0.0,0.0,1324.63,1328.79,1328.81,0
1461,0.016,0.183,0.26,0.0,0.0,704.11,706.79,706.83,0
1463,,-0.104,0.185,0.0,0.0,,423.89,423.9,0
1464,,0.184,0.119,0.0,0.0,,980.64,980.66,0
1468,,0.184,-0.061,0.0,0.0,,1266.88,1266.9,0
1473,0.043,-0.091,-0.151,0.0,0.0,671.59,673.08,673.11,0
1476,-0.068,0.072,0.074,0.0,0.0,1222.17,1223.14,1223.19,0
1481,-0.042,-0.201,-0.018,0.0,0.0,610.91,617.28,617.3,0
1482,,0.22,-0.132,0.0,0.0,,150.36,150.38,0
1483,,-0.147,0.042,0.0,0.0,,788.24,788.26,0
1487,-0.101,0.296,-0.038,0.0,0.0,962.02,964.04,964.06,0
1492,-0.023,-0.104,0.118,0.0,0.0,289.92,292.79,292.86,0
1493,-0.055,0.183,-0.055,0.0,0.0,703.99,706.44,706.48,0
1499,0.075,-0.039,0.023,0.0,0.0,975.17,977.68,977.7,0
1500,,0.332,0.099,0.0,0.0,,89.63,89.65,0
1502,,,,,,,,,0
1503,0.036,0.107,-0.002,0.0,0.0,90.68,97.38,97.42,0
1506,-0.003,-0.216,0.007,0.0,0.0,336.18,338.06,338.08,0
1508,0.016,0.12,0.127,0.0,0.0,335.0,336.09,336.12,0
1511,,0.183,-0.034,0.0,0.0,,726.85,726.87,0
1513,,-0.238,0.084,0.0,0.0,,1311.4,1311.41,0
1516,0.01,,,,,1456.82,,,0
1517,0.075,-0.127,0.036,0.0,0.0,1307.08,1309.54,1309.57,0
1520,0.043,-0.151,0.176,0.0,0.0,937.38,942.1,942.16,0
1521,-0.134,-0.099,-0.104,0.0,0.0,1567.9,1574.63,1574.8,0
1526,0.023,-0.21,0.098,0.0,0.0,1515.47,1525.38,1525.41,0
1538,,0.093,-0.155,0.0,0.0,,1295.09,1295.12,0
1539,,0.296,-0.041,0.0,0.0,,940.33,940.36,0
1541,0.082,0.204,0.086,0.0,0.0,1274.92,1290.12,1290.17,0
1542,,0.053,-0.081,0.0,0.0,,472.54,472.56,0
1544,0.056,-0.21,0.096,0.0,0.0,1660.57,1661.92,1661.94,0
1545,-0.01,0.181,-0.116,0.0,0.0,192.1,197.49,197.52,0
1546,0.062,-0.171,-0.061,0.0,0.0,533.25,537.25,537.27,0
1548,,-0.037,-0.036,0.0,0.0,,792.38,792.4,0
1549,0.128,,,,,835.12,,,0
1550,-0.036,0.011,0.042,0.0,0.0,1441.17,1443.13,1443.16,0
1552,,0.296,-0.046,0.0,0.0,,1129.64,1129.67,0
1553,0.01,0.294,0.047,0.0,0.0,190.47,191.03,191.07,0
1555,,0.183,-0.029,0.0,0.0,,726.36,726.38,0
1557,,-0.147,0.059,0.0,0.0,,812.25,812.27,0
1558,-0.029,0.184,0.127,0.0,0.0,970.24,971.69,971.71,0
1560,0.03,-0.147,-0.018,0.0,0.0,889.3,895.4,895.42,0
1561,0.023,-0.039,0.07,0.0,0.0,971.86,973.84,973.87,0
1563,,-0.201,-0.172,0.0,0.0,,609.67,609.69,0
1566,,0.072,-0.103,0.0,0.0,,1059.84,1059.87,0
1579,0.016,-0.104,0.081,0.0,0.0,336.43,338.25,338.29,0
1586,-0.167,-0.059,-0.007,0.0,0.0,489.11,489.4,489.51,0
1588,0.01,-0.091,0.014,0.0,0.0,611.32,617.58,617.6,0
1589,,-0.231,-0.217,0.0,0.0,,51.9,51.93,0
1590,-0.023,0.293,0.067,0.0,0.0,625.82,633.38,633.4,0
